序號,分類,場景,單字或片語,詞性縮寫,詞性,IPA音標,中文意思,例句,來源
1,生活常用英語單字,10個最常用英文單字（每日必背）,get,v.,動詞,/ɡet/,取得、變得、到達,I get up at 7 AM every day. (我每天早上7點起床。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
2,生活常用英語單字,10個最常用英文單字（每日必背）,make,v.,動詞,/meɪk/,製作、使得,Can you make me a cup of tea? (你可以幫我泡杯茶嗎？),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
3,生活常用英語單字,10個最常用英文單字（每日必背）,go,v.,動詞,/ɡoʊ/,去、進行,Let's go to the supermarket after work. (下班後我們去超市吧。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
4,生活常用英語單字,10個最常用英文單字（每日必背）,know,v.,動詞,/noʊ/,知道、認識,Do you know how to get to the station? (你知道怎麼去車站嗎？),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
5,生活常用英語單字,10個最常用英文單字（每日必背）,think,v.,動詞,/θɪŋk/,認為、思考,I think we should leave early tomorrow. (我認為我們明天應該早點出發。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
6,生活常用英語單字,10個最常用英文單字（每日必背）,come,v.,動詞,/kʌm/,來、到來,She comes from Hong Kong originally. (她原本來自香港。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
7,生活常用英語單字,10個最常用英文單字（每日必背）,want,v.,動詞,/wɑːnt/,想要,I want to improve my English speaking skills. (我想提升英文口說能力。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
8,生活常用英語單字,10個最常用英文單字（每日必背）,use,v.,動詞,/juːz/,使用、利用,I use my phone to study English every day. (我每天用手機學英文。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
9,生活常用英語單字,10個最常用英文單字（每日必背）,need,v.,動詞,/niːd/,需要,You need to practice speaking English regularly. (你需要定期練習英文口說。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
10,生活常用英語單字,10個最常用英文單字（每日必背）,say,v.,動詞,/seɪ/,說（著重內容）,She said she would be late today. (她說她今天會遲到。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
11,生活常用英語單字,日常活動相關動詞,wake up,phr.,片語,/weɪk ʌp/,醒來,I usually wake up at 7 AM every morning. (我通常每天早上7點醒來。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
12,生活常用英語單字,日常活動相關動詞,get up,phr.,片語,/ɡet ʌp/,起床,She likes to get up early to exercise. (她喜歡早起運動。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
13,生活常用英語單字,日常活動相關動詞,brush,v.,動詞,/brʌʃ/,刷,Don't forget to brush your teeth before bed. (睡前別忘了刷牙。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
14,生活常用英語單字,日常活動相關動詞,wash,v.,動詞,/wɒʃ/,洗,I need to wash my hands before eating. (吃飯前我需要洗手。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
15,生活常用英語單字,日常活動相關動詞,shower,v.,動詞,/ˈʃaʊər/,洗澡,He prefers to shower in the evening. (他比較喜歡晚上洗澡。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
16,生活常用英語單字,日常活動相關動詞,dress,v.,動詞,/dres/,穿衣,It takes me 10 minutes to dress for work. (我穿工作服需要10分鐘。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
17,生活常用英語單字,日常活動相關動詞,eat,v.,動詞,/iːt/,吃,What time do you usually eat breakfast? (你通常幾點吃早餐？),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
18,生活常用英語單字,日常活動相關動詞,drink,v.,動詞,/drɪŋk/,喝,I drink at least 8 glasses of water daily. (我每天至少喝8杯水。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
19,生活常用英語單字,日常活動相關動詞,cook,v.,動詞,/kʊk/,煮、烹飪,My mom taught me how to cook pasta. (我媽媽教我如何煮義大利麵。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
20,生活常用英語單字,日常活動相關動詞,work,v.,動詞,/wɜːrk/,工作,I work from 9 to 5 every weekday. (我每個工作日從9點工作到5點。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
21,生活常用英語單字,日常活動相關動詞,study,v.,動詞,/ˈstʌdi/,學習、讀書,She needs to study for her English exam. (她需要為英文考試讀書。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
22,生活常用英語單字,日常活動相關動詞,drive,v.,動詞,/draɪv/,開車,Can you drive me to the airport? (你可以開車載我去機場嗎？),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
23,生活常用英語單字,日常活動相關動詞,walk,v.,動詞,/wɔːk/,走路,I like to walk in the park after dinner. (我喜歡晚飯後在公園散步。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
24,生活常用英語單字,日常活動相關動詞,run,v.,動詞,/rʌn/,跑步,He likes to run 5 kilometers every morning. (他喜歡每天早上跑5公里。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
25,生活常用英語單字,日常活動相關動詞,exercise,v.,動詞,/ˈeksərsaɪz/,運動,I exercise at the gym three times a week. (我每週在健身房運動三次。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
26,生活常用英語單字,日常活動相關動詞,shop,v.,動詞,/ʃɒp/,購物,We need to shop for groceries this weekend. (這個週末我們需要買日用品。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
27,生活常用英語單字,日常活動相關動詞,buy,v.,動詞,/baɪ/,買,I want to buy a new phone next month. (我下個月想買一支新手機。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
28,生活常用英語單字,日常活動相關動詞,sell,v.,動詞,/sel/,賣,They sell fresh vegetables at the market. (他們在市場賣新鮮蔬菜。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
29,生活常用英語單字,日常活動相關動詞,pay,v.,動詞,/peɪ/,付費,How would you like to pay for this? (您想要如何付款？),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
30,生活常用英語單字,日常活動相關動詞,save,v.,動詞,/seɪv/,節省、存錢,I'm trying to save money for vacation. (我正在為度假存錢。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
31,生活常用英語單字,日常活動相關動詞,clean,v.,動詞,/kliːn/,清潔,I clean my room every Saturday. (我每個星期六打掃房間。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
32,生活常用英語單字,日常活動相關動詞,organize,v.,動詞,/ˈɔːrɡənaɪz/,整理,She likes to organize her desk before working. (她喜歡工作前整理桌子。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
33,生活常用英語單字,日常活動相關動詞,relax,v.,動詞,/rɪˈlæks/,放鬆,I relax by listening to music. (我透過聽音樂來放鬆。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
34,生活常用英語單字,日常活動相關動詞,sleep,v.,動詞,/sliːp/,睡覺,I usually sleep 8 hours every night. (我通常每晚睡8小時。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
35,生活常用英語單字,日常活動相關動詞,watch,v.,動詞,/wɒtʃ/,看,We watch a movie every Friday night. (我們每個星期五晚上看電影。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
36,生活常用英語單字,食物,bread,n.,名詞,/bred/,麵包,I bought fresh bread from the bakery. (我從麵包店買了新鮮麵包。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
37,生活常用英語單字,食物,rice,n.,名詞,/raɪs/,米飯,Rice is a staple food in many Asian countries. (米飯是許多亞洲國家的主食。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
38,生活常用英語單字,食物,chicken,n.,名詞,/ˈtʃɪkɪn/,雞肉,The chicken soup tastes delicious. (雞湯嚐起來很美味。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
39,生活常用英語單字,食物,beef,n.,名詞,/biːf/,牛肉,I ordered beef steak for dinner. (我點了牛排當晚餐。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
40,生活常用英語單字,食物,pork,n.,名詞,/pɔːrk/,豬肉,Pork is not allowed in some religions. (某些宗教不允許吃豬肉。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
41,生活常用英語單字,食物,fish,n.,名詞,/fɪʃ/,魚,Fresh fish is available at the market. (市場有新鮮魚類。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
42,生活常用英語單字,食物,vegetables,n.,名詞,/ˈvedʒtəbəlz/,蔬菜,Eating vegetables is good for your health. (吃蔬菜對健康有益。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
43,生活常用英語單字,食物,carrot,n.,名詞,/ˈkærət/,紅蘿蔔,Carrots are rich in vitamin A. (紅蘿蔔富含維生素A。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
44,生活常用英語單字,食物,tomato,n.,名詞,/təˈmeɪtoʊ/,番茄,I add tomatoes to my salad. (我在沙拉裡加番茄。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
45,生活常用英語單字,食物,potato,n.,名詞,/pəˈteɪtoʊ/,馬鈴薯,Baked potatoes are my favorite side dish. (烤馬鈴薯是我最喜歡的配菜。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
46,生活常用英語單字,食物,onion,n.,名詞,/ˈʌnjən/,洋蔥,Onions make me cry when I cut them. (切洋蔥會讓我流淚。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
47,生活常用英語單字,食物,lettuce,n.,名詞,/ˈletɪs/,萵苣,The lettuce in this salad is very fresh. (這個沙拉的萵苣很新鮮。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
48,生活常用英語單字,食物,apple,n.,名詞,/ˈæpəl/,蘋果,An apple a day keeps the doctor away. (一天一蘋果，醫生遠離我。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
49,生活常用英語單字,食物,banana,n.,名詞,/bəˈnænə/,香蕉,Bananas are high in potassium. (香蕉含有豐富的鉀。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
50,生活常用英語單字,食物,orange,n.,名詞,/ˈɔːrɪndʒ/,橘子,I drink fresh orange juice every morning. (我每天早上喝新鮮橘子汁。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
